id,complaint_text,category,urgency
1,"I'm having trouble registering for CHEM 102. The system says it's full, but it's a required course for my major and I need it this semester. Is there any chance of getting an override or joining a waitlist? Need help asap.",Academic,Medium
2,"Just wanted to note that the lightbulb above the study carrels on the 4th floor of the main library seems to be burnt out. It's pretty dim over there. Not urgent, but would be nice to get fixed when possible.",Facilities,Low
3,"There's been no hot water in Cedar Hall, wing B, for over 24 hours now. It's getting really difficult to shower, especially with the cold weather. Can someone please look into this urgently? We need it fixed.",Housing,High
4,"URGENT!! I am trying to take my midterm exam online for PSYC 210 right now and the exam portal just crashed. The exam is timed and I can't get back in. Please help immediately, I don't want to fail because of a technical issue!",IT Support,Critical
5,"My financial aid package seems lower than expected this year. Can someone help me understand the calculation or if there's an appeals process? I need to figure out how I'm covering tuition soon.",Financial Aid,Medium
6,"The shuttle bus schedule seems inconsistent, especially during peak hours. Yesterday morning the 8:30 AM bus didn't show up at the South Campus stop, making several students late for class. Can the schedule adherence be improved?",Campus Life,Medium
7,"Professor Miller hasn't posted grades for the midterm project in ECON 305, which was submitted three weeks ago. It's hard to know where I stand in the course without this feedback.",Academic,Medium
8,"The recycling bins outside the student union are constantly overflowing by the end of the day. It looks messy and recyclables end up in the regular trash. Could we get more frequent pickups?",Facilities,Low
9,"My roommate in Elm Tower plays loud music very late at night, typically after 1 AM, even on weeknights. I've tried talking to them, but it hasn't helped. It's affecting my sleep and studies. RA intervention might be needed.",Housing,Medium
10,"The Wi-Fi connection in the basement lecture hall of the Engineering Building (ENG 015) is extremely weak and often drops. It makes it impossible to follow along with online resources during lectures.",IT Support,Medium
11,"I received a notification about a missing document for my financial aid application, but the student portal doesn't specify which document is needed. Could you please clarify what I need to submit?",Financial Aid,Medium
12,"Requesting information about joining the Photography Club. The contact email listed on the student org website bounced back. Is there an updated contact or meeting time available?",Campus Life,Low
13,"The grade I received on my last essay for HIST 110 seems unfairly low. The feedback provided was vague, and I believe my work met the rubric criteria more closely. I would like to request a grade review.",Academic,High
14,"There's a large pothole forming on the main walkway near the science labs. It's becoming a tripping hazard, especially when it rains and fills with water. It should probably be filled in soon.",Facilities,Medium
15,"The heating in my dorm room (Maple Hall, Room 312) is stuck on high and I can't adjust it. It's incredibly hot and uncomfortable, making it difficult to sleep. Please send someone to fix the thermostat.",Housing,High
16,"I can't seem to log into the library database access from off-campus. It keeps saying my credentials are invalid, but they work fine for the main student portal. I need access for my research paper due next week.",IT Support,Medium
17,"My federal work-study award isn't showing up on my account yet, and my campus job supervisor needs the confirmation to finalize my hiring paperwork. Could you check on the status of this?",Financial Aid,Medium
18,"The gym equipment, specifically the treadmills, seems outdated and several have 'Out of Order' signs. Considering the fees we pay, could we get these repaired or replaced more promptly?",Campus Life,Medium
19,"I believe there was an error in calculating my final grade for MATH 203. My exam scores and assignment grades should result in a B, not the C+ that was posted. Can the calculation be rechecked?",Academic,High
20,"The door to the women's restroom on the 2nd floor of the Humanities building doesn't latch properly. It keeps swinging open slightly. It's a privacy concern.",Facilities,Medium
21,"My key card stopped working for accessing my dorm building (Oak Residence). I'm currently locked out. Can someone from housing or security assist me immediately?",Housing,Critical
22,"The software required for my CS 450 class, 'CodeSuite Pro', isn't available in the campus computer labs as indicated on the syllabus. The license seems to have expired. We need this software for our main project.",IT Support,High
23,"I need to request an emergency loan due to unexpected medical bills. This situation is impacting my ability to afford my rent and stay enrolled. What is the process for applying for emergency aid?",Financial Aid,Critical
24,"The lighting along the path between the library and the West parking garage is very poor. Several lights are out, making it feel unsafe to walk there alone after dark. This needs urgent attention.",Campus Life,High
25,"I need clarification on the attendance policy for BIO 101 Lab section 3. The syllabus is unclear whether excused absences require documentation.",Academic,Low
26,"Could we get more water bottle filling stations installed, particularly in the older academic buildings? Often there's only one per building, and it's usually far from my classes.",Facilities,Low
27,"The communal kitchen microwave on my floor (Pine Hall, 5th floor) has stopped working. It seems like a fuse might have blown. It gets used by many students, so a repair would be appreciated.",Housing,Medium
28,"I'm trying to submit my assignment through the online portal, but the 'Submit' button is greyed out, even though the deadline hasn't passed. I'm worried I'll miss the deadline due to this glitch.",IT Support,High
